region_id,merchart_id,sub_category_code,product_id,product_name,product_brand,product_price,product_promo_price,product_url
1,48,tverdye_i_polutverdye,9291,"Сыр полутвердый Российский нарезка «Брест-Литовск» 50% БЗМЖ, 150 г",Брест-Литовск,124.9,169.49,https://www.auchan.ru/product/syr-polutverdyy-brest-litovsk-rossiyskiy-50-narezka-150-g/
1,48,tverdye_i_polutverdye,266049,"Сыр полутвердый Cheese Gallery Гауда 45% БЗМЖ, 200 г",Cheese Gallery,179.9,240.99,https://www.auchan.ru/product/syr-gauda-45-cg-kusok-200g/
1,48,tverdye_i_polutverdye,56296,"Сыр полутвердый Natura Сливочный 45% БЗМЖ, 1 кг",Natura,799,1063.99,https://www.auchan.ru/product/syr_natura_sliv_ves/
1,48,tverdye_i_polutverdye,15469,"Сыр полутвердый «Радость вкуса» Царицинский нарезка 45% БЗМЖ, 125 г",Радость вкуса,119.9,159.99,https://www.auchan.ru/product/syr-polutverdyy-radost-vkusa-caricinskiy-slaysy-45-125-g/
1,48,tverdye_i_polutverdye,212104,"Сыр полутвердый легкий Gutendorf 30% БЗМЖ, 180 г",Gutendorf,169.9,226.99,https://www.auchan.ru/product/syr-legkiy-guten-f-30-180g/
1,48,tverdye_i_polutverdye,114868,"Сыр твердый Palermo 6 месяцев 40% БЗМЖ, вес",Palermo,119.9,160,https://www.auchan.ru/product/syr_palermo_40_6mesfasov/
1,48,tverdye_i_polutverdye,182986,"Сыр Schonfeld Parmesan выдержанный 6 месяцев 43% БЗМЖ, вес",Schonfeld,169.9,224.7,https://www.auchan.ru/product/syr-parmezan-6-mes-shonf-ves-bzmzh/
1,48,tverdye_i_polutverdye,5227,"Сыр полутвердый «Ламбер» Тильзитер в нарезке 50% БЗМЖ, 150 г",Ламбер,219,272.99,https://www.auchan.ru/product/syr-lamber-tilziter-v-narezke-50-150-g/
1,48,tverdye_i_polutverdye,5223,"Сыр полутвердый «Сваля» Тильзитер ломтики 45% БЗМЖ, 150 г",Сваля,149.9,186.99,https://www.auchan.ru/product/syr-svalya-tilziter-lomtiki-45-150-g/
1,48,tverdye_i_polutverdye,213548,"Сыр полутвердый Coeur du nord Kozimir из козьего молока 45% БЗМЖ, 150 г",Coeur du nord,329,390.99,https://www.auchan.ru/product/syr-kozimir-koz-mol-45-150g/
1,48,tverdye_i_polutverdye,110295,"Сыр полутвердый Grunlander 50% БЗМЖ, 400 г",Grunlander,319,378.49,https://www.auchan.ru/product/syr_gryunlander_hohland_400g/
1,48,tverdye_i_polutverdye,22697,"Сыр полутвердый Российский Viola БЗМЖ, 120 г",Viola,149.9,176.99,https://www.auchan.ru/product/syr-polutverdyy-valio-rossiyskiy-fasovannyy-120-g/
1,48,tverdye_i_polutverdye,24640,"Сыр полутвердый Российский «Брест-Литовск» 50% БЗМЖ, 200 г",Брест-Литовск,149.9,174.49,https://www.auchan.ru/product/syr-polutverdyy-brest-litovsk-rossiyskiy-50-200-g/
1,48,tverdye_i_polutverdye,24639,"Сыр полутвердый финский «Брест-Литовск» 45% БЗМЖ, 200 г",Брест-Литовск,149.9,174.49,https://www.auchan.ru/product/syr-polutverdyy-brest-litovsk-finskiy-45-200-g/
1,48,tverdye_i_polutverdye,9307,"Сыр полутвердый Тильзитер Viola 45% БЗМЖ, 120 г",Viola,149.9,171.99,https://www.auchan.ru/product/syr-polutverdyy-valio-tilziter-narezka-45-120-g/
1,48,tverdye_i_polutverdye,17094,"Сыр твердый АШАН Красная птица Маасдам 45% нарезка БЗМЖ, 350 г",АШАН Красная птица,269,365.84,https://www.auchan.ru/product/syr-polutverdyy-lakomo-maasdam-45-narezka-350-g/
1,48,tverdye_i_polutverdye,199093,"Сыр полутвердый Качотта АШАН Золотая птица БЗМЖ, 240 г",АШАН Золотая птица,299,399.99,https://www.auchan.ru/product/zp-syr-kachotta-s-paprikoy-i-tr-240g/
1,48,tverdye_i_polutverdye,199095,"Сыр полутвердый Качотта АШАН Золотая птица БЗМЖ, 240 г",АШАН Золотая птица,299,399.99,https://www.auchan.ru/product/zp-syr-kachotta-240-gr-bzmzh/
1,48,tverdye_i_polutverdye,199096,"Сыр полутвердый Качотта с пажитником АШАН Золотая птица БЗМЖ, 240 г",АШАН Золотая птица,299,399.99,https://www.auchan.ru/product/zp-kachotta-s-pazhitnikom-240-gr/
1,48,tverdye_i_polutverdye,199097,"Сыр полутвердый Качотта с черным перцем АШАН Золотая птица БЗМЖ, 240 г",АШАН Золотая птица,299,399.99,https://www.auchan.ru/product/zp-syr-kachotta-s-chernym-percem-240g/
